source	target	interaction	symmetry	weight	negation
at2g26180	at3g53190	ppi	symmetrical	1.0	affirmative
at2g27990	at4g08150	ppi	symmetrical	1.0	affirmative
at2g26180	at2g48070	ppi	symmetrical	1.0	affirmative
at3g45640	at5g08330	phosphorylation	asymmetrical	1.0	affirmative
at2g34250	at5g63030	ppi	symmetrical	1.0	affirmative
at1g29060	at5g53130	ppi	symmetrical	1.0	affirmative
at1g51660	at1g23730	regulation	asymmetrical	1.0	affirmative
at1g21240	at4g21680	ppi	symmetrical	1.0	affirmative
at1g47670	at5g42980	ppi	symmetrical	1.0	affirmative
at2g46330	at5g52240	ppi	symmetrical	1.0	affirmative
at1g12840	at2g36430	ppi	symmetrical	1.0	affirmative
at1g11915	at3g66654	ppi	symmetrical	1.0	affirmative
at1g34640	at3g49190	ppi	symmetrical	1.0	affirmative
at4g30850	at5g60320	ppi	symmetrical	1.0	affirmative
at2g26180	at3g13710	ppi	symmetrical	1.0	affirmative
at2g27960	at5g10440	ppi	symmetrical	1.0	affirmative
at3g53260	at5g15600	ppi	symmetrical	1.0	affirmative
at3g13950	at4g37680	ppi	symmetrical	1.0	affirmative
at1g80670	at4g02630	ppi	symmetrical	0.0	affirmative
at1g69640	at3g08040	ppi	symmetrical	1.0	affirmative
at2g27960	at5g48820	ppi	symmetrical	1.0	affirmative
at2g24220	at3g10640	ppi	symmetrical	1.0	affirmative
at1g44960	at2g41400	ppi	symmetrical	1.0	affirmative
at3g53210	at4g01010	ppi	symmetrical	1.0	affirmative
at2g26180	at2g30020	ppi	symmetrical	1.0	affirmative
at2g32840	at5g11980	ppi	symmetrical	1.0	affirmative
at1g22710	at5g49540	ppi	symmetrical	1.0	affirmative
at2g32380	at5g12480	ppi	symmetrical	1.0	affirmative
at1g55230	at4g30850	ppi	symmetrical	1.0	affirmative
at2g23290	at3g60360	ppi	symmetrical	1.0	affirmative
at5g16900	at5g59650	ppi	symmetrical	1.0	affirmative
at3g08040	at3g15710	ppi	symmetrical	1.0	affirmative
at3g26090	at4g13640	ppi	symmetrical	1.0	affirmative
at4g08300	at4g37680	ppi	symmetrical	1.0	affirmative
at2g41705	at5g60320	ppi	symmetrical	1.0	affirmative
at1g78300	at2g45790	ppi	symmetrical	1.0	affirmative
at5g07490	at5g59650	ppi	symmetrical	1.0	affirmative
at2g20180	at2g30740	positive_regulation	asymmetrical	1.0	affirmative
at3g26090	at3g51840	ppi	symmetrical	1.0	affirmative
at2g01930	at2g21240	ppi	symmetrical	0.0	affirmative
at2g20180	at4g28310	inhibition	asymmetrical	1.0	affirmative
at2g39660	at4g23550	regulation	asymmetrical	1.0	affirmative
at4g23270	at5g41180	ppi	symmetrical	1.589096823	affirmative
at1g11915	at3g08040	ppi	symmetrical	1.0	affirmative
at2g45340	at3g03210	ppi	symmetrical	1.0	affirmative
at2g41400	at4g21570	ppi	symmetrical	1.0	affirmative
at1g20610	at4g16143	ppi	symmetrical	1.0	affirmative
at4g01370	at5g08141	phosphorylation	asymmetrical	1.0	affirmative
at2g41705	at3g56010	ppi	symmetrical	1.0	affirmative
at3g59790	at2g26960	phosphorylation	asymmetrical	1.0	affirmative
at2g41400	at5g12860	ppi	symmetrical	1.0	affirmative
at1g17280	at1g17840	ppi	symmetrical	1.0	affirmative
at3g06100	at5g52420	ppi	symmetrical	1.0	affirmative
at2g41705	at3g19100	ppi	symmetrical	1.0	affirmative
at3g51920	at5g47810	ppi	symmetrical	1.55206211	affirmative
at3g18800	at5g58050	ppi	symmetrical	1.0	affirmative
at2g43790	at2g30980	phosphorylation	asymmetrical	1.0	affirmative
at3g10640	at5g14030	ppi	symmetrical	1.0	affirmative
at4g23270	at5g06320	ppi	symmetrical	1.589096823	affirmative
at3g13175	at3g55130	ppi	symmetrical	0.0	affirmative
at3g50220	at4g13220	ppi	symmetrical	1.0	affirmative
at3g02150	at4g01920	ppi	symmetrical	1.0	affirmative
at3g55150	at4g08150	ppi	symmetrical	1.0	affirmative
at2g19130	at5g06320	ppi	symmetrical	1.0	affirmative
at2g36305	at2g39530	ppi	symmetrical	1.0	affirmative
at1g80865	at5g48360	ppi	symmetrical	1.0	affirmative
at1g33100	at3g13175	ppi	symmetrical	1.0	affirmative
at1g75500	at4g19645	ppi	symmetrical	1.0	affirmative
at1g34640	at5g05170	ppi	symmetrical	1.0	affirmative
at2g20180	at2g42770	inhibition	asymmetrical	1.0	affirmative
at1g51650	at1g66750	ppi	symmetrical	1.0	affirmative
at1g48630	at3g26090	ppi	symmetrical	1.2545007595	affirmative
at3g14860	at3g18800	ppi	symmetrical	1.0	affirmative
at3g14860	at5g11890	ppi	symmetrical	1.0	affirmative
at2g45340	at3g18800	ppi	symmetrical	1.0	affirmative
at2g45070	at5g37050	ppi	symmetrical	1.0	affirmative
at3g49580	at3g60360	ppi	symmetrical	1.0	affirmative
at2g33580	at5g59650	ppi	symmetrical	1.0	affirmative
at1g15750	at4g28910	ppi	symmetrical	1.0	affirmative
at3g25250	at5g04510	ppi	symmetrical	1.0	affirmative
at1g58520	at2g04050	ppi	symmetrical	1.0	affirmative
at1g21210	at3g03210	ppi	symmetrical	1.0	affirmative
at1g10210	at1g30480	phosphorylation	asymmetrical	1.0	affirmative
at4g37630	at5g43080	ppi	symmetrical	1.0	affirmative
at2g41350	at4g02150	ppi	symmetrical	1.0	affirmative
at1g53280	at5g05410	ppi	symmetrical	1.0	affirmative
at1g57990	at3g20600	ppi	symmetrical	1.0	affirmative
at1g11450	at3g53510	ppi	symmetrical	1.0	affirmative
at1g78300	at3g56850	ppi	symmetrical	1.0	affirmative
at2g20180	at1g80180	positive_regulation	asymmetrical	1.0	affirmative
at1g23080	at5g06320	ppi	symmetrical	1.0	affirmative
at1g59580	at5g56840	phosphorylation	asymmetrical	1.0	affirmative
at3g03210	at5g41800	ppi	symmetrical	1.0	affirmative
at2g29100	at3g49670	ppi	symmetrical	1.0	affirmative
at1g08320	at2g41090	ppi	symmetrical	1.3502549295	affirmative
at1g66410	at4g30960	ppi	symmetrical	1.0	affirmative
at4g37680	at5g20230	ppi	symmetrical	2.160706791	affirmative
at3g47620	at4g02770	ppi	symmetrical	1.0	affirmative
at1g21240	at5g51160	ppi	symmetrical	1.0	affirmative
at1g47640	at1g57550	ppi	symmetrical	1.0	affirmative
at1g03950	at1g49510	ppi	symmetrical	1.0	affirmative
at3g45640	at5g67360	phosphorylation	asymmetrical	1.0	affirmative
at1g32350	at4g08300	ppi	symmetrical	1.0	affirmative
at1g33100	at3g17210	ppi	symmetrical	1.0	affirmative
at3g16857	at3g29350	ppi	symmetrical	1.0	affirmative
at2g41705	at3g63080	ppi	symmetrical	1.0	affirmative
at2g41100	at5g56030	ppi	symmetrical	2.619648519	affirmative
at3g26090	at5g51890	ppi	symmetrical	1.0	affirmative
at3g46280	at5g42980	ppi	symmetrical	1.0	affirmative
at2g43790	at5g54430	phosphorylation	asymmetrical	1.0	affirmative
at3g16180	at5g06100	ppi	symmetrical	1.0	affirmative
at3g06170	at5g06100	ppi	symmetrical	1.0	affirmative
at2g26180	at5g48360	ppi	symmetrical	1.0	affirmative
at1g43560	at5g12200	ppi	symmetrical	1.0	affirmative
at2g45960	at3g25805	ppi	symmetrical	1.0	affirmative
at3g59030	at5g56890	ppi	symmetrical	1.0	affirmative
at2g40540	at3g54140	ppi	symmetrical	1.0	affirmative
at3g62030	at5g57460	ppi	symmetrical	1.0	affirmative
at2g36305	at5g41800	ppi	symmetrical	1.0	affirmative
at1g75440	at5g19080	ppi	symmetrical	1.0	affirmative
at3g18800	at4g39030	ppi	symmetrical	1.0	affirmative
at4g01370	at1g64620	phosphorylation	asymmetrical	1.0	affirmative
at3g08040	at5g44650	ppi	symmetrical	1.0	affirmative
at2g22490	at3g22310	ppi	symmetrical	1.0	affirmative
at1g21240	at2g42390	ppi	symmetrical	1.0	affirmative
at1g14260	at4g30850	ppi	symmetrical	1.0	affirmative
at1g29060	at3g59090	ppi	symmetrical	1.0	affirmative
at3g45640	at3g21175	phosphorylation	asymmetrical	1.0	affirmative
at1g14440	at5g65410	ppi	symmetrical	1.0	affirmative
at1g11915	at1g14990	ppi	symmetrical	1.0	affirmative
at1g21240	at5g24080	ppi	symmetrical	1.0	affirmative
at1g23090	at5g37050	ppi	symmetrical	1.3292011565	affirmative
at1g59580	at1g59530	phosphorylation	asymmetrical	1.0	affirmative
at4g01410	at5g19700	ppi	symmetrical	1.0	affirmative
at1g11890	at1g47640	ppi	symmetrical	1.0	affirmative
at2g41100	at4g08980	ppi	symmetrical	2.619648519	affirmative
at1g10090	at3g12180	ppi	symmetrical	1.0	affirmative
at3g08040	at5g24920	ppi	symmetrical	1.0	affirmative
at1g17280	at1g49510	ppi	symmetrical	1.0	affirmative
at1g21240	at5g10190	ppi	symmetrical	1.0	affirmative
at1g47640	at5g05170	ppi	symmetrical	1.0	affirmative
at3g55090	at4g14455	ppi	symmetrical	1.0	affirmative
at2g41705	at2g42360	ppi	symmetrical	1.0	affirmative
at1g77350	at5g20230	ppi	symmetrical	2.160706791	affirmative
at1g65690	at2g03620	ppi	symmetrical	1.3016236145	affirmative
at3g13175	at5g13400	ppi	symmetrical	1.0	affirmative
at1g03730	at1g34640	ppi	symmetrical	1.0	affirmative
at5g01960	at5g06320	ppi	symmetrical	1.0	affirmative
at1g34640	at3g16670	ppi	symmetrical	1.0	affirmative
at1g09100	at5g23940	ppi	symmetrical	1.0	affirmative
at1g51170	at2g47060	ppi	symmetrical	1.0	affirmative
at2g41090	at5g39810	ppi	symmetrical	1.3502549295	affirmative
at2g05830	at5g13530	ppi	symmetrical	1.0	affirmative
at1g34640	at3g53190	ppi	symmetrical	0.0	affirmative
at2g43790	at4g39880	phosphorylation	asymmetrical	1.0	affirmative
at2g41100	at4g25200	ppi	symmetrical	1.0	affirmative
at3g08040	at3g61460	ppi	symmetrical	0.0	affirmative
at1g14670	at3g57220	ppi	symmetrical	1.0	affirmative
at2g26180	at4g03600	ppi	symmetrical	1.0	affirmative
at4g29330	at5g49540	ppi	symmetrical	1.0	affirmative
at1g35430	at3g57400	ppi	symmetrical	1.0	affirmative
at1g34640	at5g27210	ppi	symmetrical	1.0	affirmative
at1g75950	at2g39940	ppi	symmetrical	1.0	affirmative
at1g13580	at3g20600	ppi	symmetrical	1.0	affirmative
at2g26180	at3g57070	ppi	symmetrical	1.0	affirmative
at1g51570	at2g40890	ppi	symmetrical	1.0	affirmative
at3g59900	at5g19570	ppi	symmetrical	1.0	affirmative
at4g37680	at5g13400	ppi	symmetrical	1.0	affirmative
at2g38620	at3g22310	ppi	symmetrical	1.0	affirmative
at1g29060	at3g08710	ppi	symmetrical	1.0	affirmative
at5g37050	at5g64870	ppi	symmetrical	1.0	affirmative
at5g16150	at5g37050	ppi	symmetrical	1.0	affirmative
at3g01090	at3g23240	regulation	asymmetrical	1.0	affirmative
at1g63110	at4g04525	ppi	symmetrical	1.0	affirmative
at1g28520	at5g43850	ppi	symmetrical	1.0	affirmative
at1g64180	at1g69810	ppi	symmetrical	1.0	affirmative
at1g23860	at1g55310	ppi	symmetrical	1.0	affirmative
at1g61590	at3g07780	ppi	symmetrical	1.0	affirmative
at1g72150	at5g61010	ppi	symmetrical	1.304133225	affirmative
at4g25360	at5g08050	ppi	symmetrical	1.0	affirmative
at3g17000	at4g04860	ppi	symmetrical	1.0	affirmative
at1g14390	at3g20600	ppi	symmetrical	1.0	affirmative
at1g37130	at4g09000	ppi	symmetrical	1.0	affirmative
at3g63310	at4g14455	ppi	symmetrical	1.0	affirmative
at3g17020	at3g48750	ppi	symmetrical	1.0	affirmative
at3g01550	at4g25360	ppi	symmetrical	0.0	affirmative
at1g17280	at3g14350	ppi	symmetrical	1.0	affirmative
at1g16560	at1g34640	ppi	symmetrical	0.0	affirmative
at1g10210	at3g47870	phosphorylation	asymmetrical	1.0	affirmative
at3g17510	at5g55990	ppi	symmetrical	1.0	affirmative
at1g43700	at4g38900	ppi	symmetrical	1.0	affirmative
at1g47530	at3g17000	ppi	symmetrical	1.0	affirmative
at4g23570	at4g37460	ppi	symmetrical	1.2965182225	affirmative
at2g34420	at3g47620	ppi	symmetrical	1.0	affirmative
at1g03070	at1g16170	ppi	symmetrical	1.0	affirmative
at4g23400	at5g10840	ppi	symmetrical	1.0	affirmative
at3g19590	at5g51600	ppi	symmetrical	1.0	affirmative
at2g01570	at5g66730	ppi	symmetrical	1.0	affirmative
at2g22425	at2g38510	ppi	symmetrical	1.0	affirmative
at2g32950	at3g20050	ppi	symmetrical	1.0	affirmative
at1g05000	at1g09310	ppi	symmetrical	1.0	affirmative
at1g14700	at5g13400	ppi	symmetrical	1.0	affirmative
